,city,lat,temp,humidity,wind,clouds
75,imeni poliny osipenko,52.42,71.78,48,3.53,0
76,airai,-8.93,75.63,63,1.3,91
77,leningradskiy,69.38,46.51,67,6.8,99
78,zhigansk,66.77,62.13,37,16.55,25
79,berlevag,70.86,42.12,78,13.96,0
80,atambua,-9.11,75.9,72,9.15,96
81,bam,29.11,74.55,23,5.48,1
82,hami,42.84,85.14,13,7.96,0
83,los llanos de aridane,28.66,71.6,68,11.41,75
84,belaya kalitva,48.18,52.09,75,6.15,1
85,tilichiki,60.47,48.17,90,6.17,100
86,camopi,3.17,72.83,99,2.28,96
87,ulladulla,-35.36,53.83,58,10.29,90
88,evensk,61.92,46.58,92,6.51,100
89,lebu,8.96,58.21,86,3.49,100
90,babu,23.23,65.82,95,1.41,100
91,puerto ayora,-0.74,74.5,69,19.46,20
92,mehamn,71.03,38.73,92,22.62,22
93,esperance,-33.86,50.0,71,17.22,7
94,nantucket,41.28,71.55,94,4.7,40
95,upernavik,72.79,39.76,81,12.39,0
96,san jeronimo,-13.65,46.87,89,3.56,20
97,ponta do sol,-20.63,63.25,79,6.69,0
98,kargasok,59.06,52.99,76,5.39,74
99,talcahuano,-36.72,46.4,70,9.17,0
100,faanui,-16.48,76.03,78,24.58,71
101,port macquarie,-31.43,59.11,87,3.36,90
102,ribeira grande,38.52,67.25,72,9.55,20
103,ola,59.58,45.0,90,2.48,100
104,lavumisa,-27.31,55.91,55,5.5,0
105,verkhoyansk,67.55,55.46,50,11.23,5
106,hamilton,43.26,80.62,57,17.22,75
107,tateyama,36.66,76.66,94,2.24,75
108,komsomolskiy,67.55,59.83,49,16.89,74
109,clyde river,70.47,33.8,49,6.93,40
110,yellowknife,62.45,71.24,33,5.82,75
111,pa sang,18.53,78.4,88,4.7,75
112,provideniya,64.42,44.08,96,3.62,100
113,tranas,58.04,63.75,55,11.41,31
114,nikolskoye,59.7,58.73,77,8.95,40
115,shiyan,32.65,71.6,70,4.32,35
116,chinna salem,11.64,75.22,77,7.74,100
117,mut,36.64,61.05,57,7.43,0
118,aguimes,27.91,70.74,73,17.22,40
119,vanderhoof,54.02,71.85,42,1.16,88
120,kokopo,-4.34,84.04,65,2.35,89
121,half moon bay,37.46,66.92,77,10.29,90
122,calvinia,-31.47,43.11,86,3.71,0
123,anadyr,64.73,52.03,71,8.95,75
124,karratha,-20.74,63.7,29,14.97,0
125,thompson,55.74,66.2,59,9.17,90
126,georgetown,6.8,81.43,78,9.17,75
127,panguna,-6.32,81.09,77,2.42,82
128,coihaique,-45.58,34.59,69,3.36,0
129,sao joao da barra,-21.64,73.4,88,8.05,0
130,lagoa,37.14,69.33,88,4.7,0
131,hofn,64.25,34.92,96,10.83,100
132,black forest,-34.96,51.22,87,17.22,75
133,inuvik,68.36,51.8,50,3.36,75
134,sri aman,1.24,75.2,94,2.42,48
135,cabo san lucas,22.89,89.87,14,11.41,5
136,kodiak,39.95,92.64,56,8.05,1
137,cockburn town,21.46,82.92,79,22.26,6
138,san carlos de bariloche,-41.13,37.4,59,16.11,40
139,champerico,16.38,80.6,65,14.99,40
140,aksu,52.04,46.4,100,6.71,0
141,bambous virieux,-20.34,68.54,64,16.11,40
142,alugan,12.22,78.41,88,3.22,100
143,marquette,46.54,66.38,49,10.29,5
144,sisimiut,66.94,37.51,92,12.55,48
145,kapit,2.02,75.78,97,1.59,73
146,san patricio,-26.98,77.25,60,3.49,60
147,tete,-16.16,59.0,82,3.36,0
148,cartagena,37.63,73.4,60,5.82,0
149,haines junction,60.75,76.77,28,4.29,76
150,uige,-7.61,62.87,85,2.28,8
151,altay,47.83,62.57,54,4.38,5
152,sijunjung,-0.69,67.17,94,0.96,14
153,falakata,26.52,79.32,83,2.86,2
154,bologoye,57.88,46.31,87,6.26,0
155,vila franca do campo,37.72,62.6,82,4.7,20
156,jalu,29.03,81.12,50,13.22,0
157,barrow,-38.31,42.84,89,8.57,100
158,hobart,-42.88,50.31,50,17.22,75
159,borzoy,42.84,62.6,93,8.95,90
160,laguna,16.17,82.4,78,4.7,75
161,belmonte,40.36,59.52,80,2.57,0
162,chokurdakh,70.62,53.57,50,8.9,10
163,haicheng,40.85,68.11,66,10.36,0
164,kodar,16.98,79.16,74,9.28,100
165,nadym,65.53,61.25,55,6.51,8
166,abu dhabi,24.47,86.54,79,4.7,0
167,itoman,26.12,84.7,89,19.46,40
168,marsa matruh,31.35,78.69,80,9.69,0
169,pauini,-7.71,77.04,80,1.57,66
170,monroe,41.91,84.9,55,5.82,40
171,norman wells,65.28,51.8,93,16.11,90
172,hasaki,35.73,69.87,100,4.7,75
173,chuy,-33.69,63.3,99,1.68,97
174,iqaluit,63.75,43.54,75,13.87,75
175,souillac,45.6,67.77,88,9.17,90
176,lerwick,60.15,53.6,93,1.12,84
177,grande prairie,55.17,68.0,64,14.99,75
178,emba,34.81,73.24,83,2.24,20
179,raudeberg,61.99,56.62,87,8.05,98
180,krasnyy oktyabr,56.12,46.26,76,7.67,67
181,tiksi,71.64,41.34,79,9.24,99
182,malandag,6.32,75.45,90,1.72,100
183,husavik,50.56,81.0,38,5.01,95
184,kosh-agach,49.99,58.35,61,1.34,92
185,longyearbyen,78.22,39.2,69,20.8,75
186,sambava,-14.27,66.78,96,2.89,24
187,ilulissat,69.22,39.2,86,8.05,75
188,perchtoldsdorf,48.12,62.55,72,8.05,0
189,ancud,-41.87,41.0,100,3.85,90
190,tarn taran,31.46,85.03,55,2.77,0
191,kurilsk,45.23,47.77,88,7.87,100
192,port alfred,-33.59,55.0,82,1.01,0
193,egvekinot,66.32,40.68,91,10.02,100
194,kostomuksha,64.59,42.01,90,4.81,36
195,saldanha,41.42,70.45,69,3.49,0
196,lexington,38.05,87.44,55,4.7,1
197,maningrida,-12.05,79.95,58,12.46,100
198,alice springs,-23.7,42.8,56,13.13,0
199,banda aceh,5.56,83.63,75,17.65,100
200,torbay,47.66,50.31,87,2.53,75
201,balikpapan,-1.24,73.42,83,3.96,36
202,arraial do cabo,-22.97,72.0,77,14.54,0
203,santa cruz de tenerife,28.47,66.15,82,11.41,75
204,todos santos,23.45,91.89,14,11.41,5
205,kaeo,-35.1,57.0,86,14.0,3
206,nicoya,10.15,79.02,58,14.99,0
207,guantanamo,-16.14,74.19,76,2.82,37
208,codrington,-28.95,61.03,93,4.7,90
209,paranaiba,-19.68,69.66,56,3.71,0
210,sur,22.57,88.97,49,10.69,0
211,rawson,-43.3,36.27,56,10.13,31
212,haskovo,41.93,62.6,72,3.67,49
213,taoudenni,22.68,94.37,14,2.21,61
214,mabaruma,8.2,74.39,91,3.18,23
215,pisco,-13.71,68.14,30,12.75,90
216,kaitangata,-46.28,51.01,61,4.0,56
217,gorontalo,0.54,79.92,73,7.58,40
218,hithadhoo,-0.6,82.69,71,20.38,85
219,pevek,69.7,34.14,99,10.63,100
220,hambantota,6.12,82.64,77,20.87,100
221,saryg-sep,51.49,62.22,53,2.66,0
222,shumskiy,54.83,68.54,62,2.26,0
223,russell,38.9,98.44,24,17.22,1
224,bandar-e lengeh,26.56,88.25,75,6.55,0
225,winslow,51.94,68.0,77,12.75,10
226,samoylovka,51.19,50.0,87,1.01,0
227,pangnirtung,66.15,44.93,45,5.84,0
228,colares,38.8,64.06,77,16.11,0
229,bahia honda,22.9,85.05,77,10.18,69
230,palmer,-34.85,51.37,87,17.22,75
231,la rioja,-29.41,44.13,65,1.21,0
232,turukhansk,65.8,54.52,70,9.15,98
233,sabha,27.03,85.61,33,17.31,0
234,louga,15.62,77.0,88,4.7,0
235,mizdah,31.45,73.44,50,2.71,0
236,port blair,11.67,83.82,80,25.39,100
237,cherskiy,68.75,46.55,71,13.09,100
238,san lorenzo,13.43,91.4,52,4.7,20
239,aykhal,65.95,78.8,36,4.47,0
240,visby,57.64,66.6,72,8.05,28
241,kununurra,-15.77,71.6,43,6.93,46
242,shrigonda,18.61,73.31,85,6.67,100
243,bubaque,11.28,79.88,81,8.37,75
244,ulaangom,49.98,70.83,40,2.62,50
245,port elizabeth,39.31,73.2,83,8.05,1
246,ketchikan,55.34,60.66,77,11.41,75
247,comodoro rivadavia,-45.87,39.2,64,13.87,0
248,saint george,39.45,70.18,64,1.36,20
249,fortuna,40.6,61.86,72,14.99,40
250,atar,20.52,94.03,14,14.47,22
251,gat,14.69,77.0,83,8.05,33
252,natal,-5.81,74.28,78,5.82,20
253,honningsvag,70.98,39.4,92,37.74,77
254,buala,-8.15,83.36,71,4.36,53
255,maniitsoq,65.42,37.85,72,4.63,67
256,winnemucca,40.97,81.16,12,12.75,1
257,idrinskoye,54.37,64.28,81,3.56,8
258,nizhnevartovsk,60.93,55.4,87,4.47,40
259,la plata,-34.92,54.25,100,6.93,90
260,kiunga,-6.12,76.14,95,3.98,97
261,harstad,68.8,42.57,70,14.99,100
262,dawei,14.07,81.2,86,19.53,100
263,sao filipe,14.9,72.41,86,25.39,1
264,charagua,-19.79,71.6,88,1.36,6
265,sinjar,35.59,73.01,70,6.31,0
266,dalvik,57.79,60.93,67,6.93,34
267,arecibo,18.47,82.13,83,17.22,90
268,podor,16.65,86.11,31,12.53,0
269,nortelandia,-14.45,74.28,49,3.85,8
270,huangchuan,24.57,63.48,67,11.18,75
271,college,64.86,85.75,42,5.82,1
272,dubti,11.74,91.2,27,5.19,50
273,jelah,44.65,59.0,93,1.03,0
274,puerto carreno,6.19,84.2,70,2.48,20
275,halifax,44.65,55.83,100,9.17,90
276,shenzhen,22.54,84.76,89,4.47,20
277,kuroishi,40.62,64.58,100,3.36,75
278,luderitz,-26.65,51.8,87,3.36,0
279,kurtamysh,54.91,56.55,77,11.45,54
280,moroni,35.09,75.97,69,23.04,20
281,codigoro,44.83,67.32,88,3.36,0
282,avera,33.19,82.92,74,9.17,90
283,ostrovnoy,68.05,46.62,54,3.62,100
284,nam som,17.77,79.0,100,2.24,75
285,mangan,27.5,58.55,80,2.13,29
286,turka,52.95,43.88,85,2.39,85
287,talara,-4.58,65.84,89,10.36,73
288,xining,36.62,46.47,81,2.77,68
289,la tuque,47.44,61.67,93,4.65,64
290,san rafael,-34.61,45.5,62,2.91,0
291,tucupita,9.06,78.19,78,7.94,41
292,zeya,53.74,73.94,32,8.57,0
293,guangyuan,32.43,73.35,74,2.84,59
294,belyy yar,53.6,62.6,77,4.47,0
295,sovetsk,55.08,61.22,94,10.22,61
296,bismarck,46.81,82.74,83,14.99,1
297,carnarvon,-30.97,49.07,34,9.53,0
298,glendive,47.11,80.49,42,14.99,20
299,blagoyevo,63.37,56.07,95,8.66,100
300,sohbatpur,28.52,93.38,46,8.81,0
301,amberley,-43.15,49.14,65,6.93,17
302,kadaya,50.93,69.03,39,6.67,39
303,keningau,5.33,77.16,83,4.7,75
304,cabra,37.47,79.66,51,10.29,0
305,vestmanna,62.16,50.0,100,8.05,97
306,uvira,-3.41,50.87,86,2.33,7
307,binga,-17.62,54.48,46,3.2,36
308,lyuban,52.8,52.27,84,5.61,81
309,lompoc,34.64,72.55,68,16.11,1
310,ithaca,42.44,73.74,64,3.36,40
311,mareeba,-16.99,70.32,73,18.34,20
312,mount isa,-20.73,60.8,36,10.29,0
313,diego de almagro,-26.39,43.79,86,1.21,0
314,shimoda,34.7,76.05,94,23.04,75
315,semporna,4.48,75.2,94,4.7,75
316,laguna de perlas,12.34,82.4,88,4.7,75
317,luneville,48.6,69.03,88,8.05,90
318,labuhan,-2.54,73.06,70,0.83,29
319,san cristobal,14.68,70.68,83,4.41,100
320,lafiagi,8.85,75.67,86,5.37,1
321,namibe,-15.19,64.89,84,17.54,90
322,yabelo,4.89,60.5,78,2.82,33
323,anupgarh,29.19,94.88,28,10.36,0
324,walvis bay,-22.95,55.09,93,5.82,69
325,pundaguitan,6.37,81.7,78,13.06,99
326,kumluca,36.37,63.02,66,7.56,0
327,jawhar,19.91,75.87,92,4.05,100
328,deputatskiy,69.3,46.17,84,5.77,100
329,zyryanka,65.73,61.18,54,11.81,76
330,vestmannaeyjar,63.44,49.12,90,5.35,100
331,sretensk,52.24,67.1,52,5.64,22
332,saint anthony,43.97,78.57,34,14.99,1
333,igarka,67.47,54.41,61,2.62,86
334,acapulco,16.86,89.6,62,11.41,5
335,rochester,44.02,86.94,55,4.7,90
336,assiniboia,49.63,75.69,42,15.43,25
337,nipawin,53.36,77.0,50,14.99,75
338,coffs harbour,-30.3,59.45,72,8.05,0
339,ryotsu,38.08,68.95,100,5.82,75
340,vostok,46.45,64.74,72,2.8,100
341,escanaba,45.75,79.75,47,8.05,1
342,chadan,51.29,65.18,59,2.62,44
343,narsaq,60.91,46.4,81,9.17,99
344,klaeng,12.78,84.99,79,8.72,99
345,shache,38.42,73.04,44,1.36,25
346,okaihau,-35.32,57.0,86,14.0,1
347,ladario,40.7,62.37,97,1.01,0
348,namatanai,-3.66,80.96,78,7.43,99
349,la ronge,55.1,57.2,93,9.17,75
350,adrar,27.87,100.4,8,21.92,55
351,marawi,8.0,78.01,84,5.99,100
352,brae,60.4,53.6,100,9.17,84
353,fairbanks,64.84,85.73,42,5.82,1
354,kamina,-8.74,59.92,36,4.74,0
355,aseri,59.45,57.29,76,12.17,0
356,kandrian,-6.21,81.59,78,8.5,89
357,mercedes,-33.25,55.99,98,8.99,100
358,kichera,55.93,68.9,41,2.21,6
359,curaca,-8.99,75.45,52,16.35,57
360,tungor,53.39,55.78,68,4.72,0
361,hihya,30.67,80.6,65,4.7,0
362,manggar,-2.88,79.14,81,5.73,66
363,sahuaripa,29.05,87.59,35,9.01,98
364,petropavlovsk-kamchatskiy,53.05,64.4,48,4.47,82
365,kutum,14.2,80.89,27,0.96,74
366,boueni,-12.9,77.0,94,4.7,0
367,kangundo,-1.3,58.21,87,6.93,0
368,novobirilyussy,56.95,58.57,98,8.46,100
369,awjilah,29.14,79.14,56,13.62,0
370,simbahan,6.3,83.93,75,12.59,100
371,preston,53.76,59.47,82,6.93,20
372,hoa binh,20.81,78.8,100,5.82,0
373,andros town,24.73,84.92,70,8.05,75
374,bontang,0.12,75.65,81,2.82,28
375,eganville,45.54,65.75,88,5.82,90
376,plettenberg bay,-34.05,55.74,51,3.31,12
377,eyl,7.98,78.08,58,21.16,100
378,wajir,1.75,75.42,60,18.1,45
379,sangar,63.92,68.42,50,6.22,93
380,dandong,40.12,71.39,71,7.47,0
381,pamanukan,-6.28,73.19,76,3.42,0
382,port augusta,-32.49,43.9,93,10.29,17
383,hovd,63.83,51.44,100,8.05,75
384,carrickfergus,54.72,59.92,87,4.7,17
385,hudiksvall,61.73,52.81,86,2.75,100
386,puerto narino,-3.77,82.4,88,1.72,75
387,esso,55.93,54.83,49,5.99,67
388,te anau,-45.41,48.18,80,1.88,100
389,craig,40.52,83.14,26,4.7,1
390,bukama,-9.2,61.29,44,3.11,0
391,klaksvik,62.23,50.0,100,8.05,94
392,maragogi,-9.01,71.64,95,3.6,26
393,roebourne,-20.77,63.29,29,15.75,7
394,haverfordwest,51.8,57.99,93,16.11,4
395,gamba,28.28,38.75,70,3.13,0
396,mayo,63.59,84.2,28,10.29,75
397,banjar,-7.37,70.4,90,0.45,93
398,luwingu,-10.26,49.37,68,4.21,0
399,svetlogorsk,53.14,66.2,42,8.95,40
400,harwich,41.69,71.96,94,4.7,40
401,alexandru odobescu,44.27,60.95,71,4.94,71
402,wattegama,7.35,73.22,90,4.99,100
403,gerash,27.67,79.9,23,0.92,0
404,naze,5.43,73.67,95,4.59,92
405,lucea,18.44,85.89,70,20.8,20
406,ouegoa,-20.34,72.47,76,18.1,4
407,tayu,35.06,80.69,78,11.41,75
408,vardo,39.62,80.04,51,5.79,1
409,abu samrah,35.3,73.01,70,6.31,0
410,lernakert,40.56,58.71,82,1.12,75
411,barcelos,-0.97,75.72,89,2.1,12
412,manzhouli,49.6,68.38,42,7.05,72
413,atbasar,51.81,53.39,72,10.25,56
414,kargopol,61.51,43.59,73,7.25,98
415,bauchi,10.31,75.47,73,3.53,7
416,floro,61.6,58.53,87,8.05,98
417,qrendi,35.83,77.0,69,6.93,0
418,abbeville,50.11,70.52,82,8.05,0
419,gunjur,13.18,78.8,78,5.82,20
420,brownsville,25.91,89.78,59,16.11,1
421,shieli,44.18,84.76,38,12.71,0
422,nirasaki,35.72,73.63,88,13.87,75
423,moussoro,13.64,90.99,34,7.31,47
424,lasa,34.92,73.38,83,2.24,20
425,sobolevo,54.43,48.51,96,7.78,85
426,villa union,-10.79,86.0,66,2.1,16
427,tual,-5.67,78.78,88,18.48,82
428,booue,-0.09,73.69,82,6.46,29
429,concepcion del oro,24.63,71.98,32,11.34,66
430,tequixquitla,19.33,56.18,78,10.74,50
431,hof,50.32,58.71,67,4.61,1
432,tianpeng,28.88,77.4,84,3.56,43
433,westport,41.14,77.68,61,5.82,20
434,isangel,-19.55,77.0,69,11.41,75
435,chake chake,-5.25,79.32,78,18.68,9
436,nouadhibou,20.93,69.8,68,19.46,0
437,xiamen,24.46,84.2,89,2.24,40
438,kropotkin,45.43,55.28,80,7.23,5
439,roma,41.89,72.84,68,3.36,0
440,tuatapere,-46.13,51.01,77,7.99,100
441,brainerd,46.36,78.37,57,9.17,1
442,acari,-6.44,73.46,73,12.55,37
443,bonavista,48.65,46.99,81,1.01,95
444,havoysund,71.0,39.2,86,40.26,75
445,carutapera,-1.2,78.51,81,7.61,0
446,barras,-4.24,79.68,59,7.63,29
447,mbekenyera,-10.0,67.1,67,3.2,24
448,san francisco,1.17,71.6,37,12.75,20
449,port moresby,-9.47,80.6,69,23.04,20
450,melendugno,40.27,75.81,73,11.41,0
451,riyadh,24.63,89.6,10,4.25,0
452,chadiza,-14.06,57.08,63,8.01,4
453,shu,43.6,73.8,37,4.23,36
454,coari,-4.09,80.1,75,2.42,74
455,preobrazheniye,42.9,53.4,96,2.84,100
456,mengcheng,33.26,79.38,63,9.1,73
457,ixtapa,20.71,89.31,59,9.17,40
458,hirara,24.8,84.2,83,16.11,40
459,lewisporte,49.25,60.8,77,10.29,75
460,parabel,58.71,52.67,73,6.6,20
461,muravlenko,63.79,59.72,56,6.4,57
462,antalaha,-14.9,65.37,97,2.19,67
463,tonantins,-2.86,77.16,77,1.9,22
464,bumba,2.18,71.76,76,0.56,13
465,flinders,-34.58,55.54,58,10.29,90
466,bodden town,19.28,86.86,70,10.29,20
467,champoton,19.35,82.4,69,8.05,75
468,khatanga,71.98,59.51,63,15.57,98
469,dicabisagan,17.08,80.37,82,1.9,100
470,conde,-11.81,69.12,96,3.06,3
471,muros,42.77,61.07,93,6.93,75
472,arona,45.76,76.6,78,2.24,0
473,tres pontas,-21.37,60.95,86,0.94,0
474,lorengau,-2.02,82.24,78,4.14,51
475,shaunavon,49.65,71.3,37,15.01,0
476,udachnyy,66.42,78.8,36,4.47,0
477,mopipi,-21.2,55.4,38,4.59,32
478,elbistan,38.2,51.93,73,10.16,0
479,fukue,35.03,80.69,78,11.41,75
480,kishapu,-3.61,65.72,53,7.81,1
481,bolshoye nagatkino,54.52,55.4,82,6.71,99
482,dingle,11.0,77.45,86,7.36,100
483,les escoumins,48.35,57.35,86,3.67,82
484,quimperle,47.87,61.81,82,5.82,0
485,elko,40.83,83.01,16,6.93,1
486,sao jose da coroa grande,-8.9,71.64,95,3.6,26
487,san javier,-27.87,72.84,74,5.53,32
488,rock sound,24.9,83.3,78,13.18,100
489,prainha,-1.8,77.74,81,2.01,23
490,kiama,-34.67,57.36,58,10.29,90
491,leh,34.16,30.71,45,3.0,76
492,summerville,33.02,78.48,100,4.7,75
493,karachi,24.87,87.8,62,10.29,75
494,grand gaube,-20.01,69.6,64,16.11,40
495,quatre cocos,-20.21,69.35,64,16.11,40
496,tiznit,29.7,66.49,90,10.67,2
497,kozuchow,51.75,65.26,69,3.96,0
498,peniche,39.36,62.67,77,16.11,0
499,kavaratti,10.57,84.24,75,20.0,100
500,bereda,43.27,60.96,88,5.82,75
501,non sang,16.87,80.6,78,9.17,75
502,saint-francois,46.42,65.71,82,1.12,0
503,teseney,15.11,81.12,68,13.98,81
504,mezen,65.85,53.03,98,9.44,100
505,adilcevaz,38.8,68.0,64,9.17,20
506,ambilobe,-13.19,71.48,71,10.36,0
507,aklavik,68.22,51.8,62,6.93,75
508,navirai,-23.07,72.56,66,8.46,4
509,bandarbeyla,9.49,77.85,62,24.76,100
510,bridlington,54.08,66.92,82,12.75,82
511,buchanan,5.88,77.0,94,14.12,75
512,kahului,20.89,81.66,48,16.11,40
513,pochutla,15.74,79.86,66,1.12,40
514,birjand,32.86,75.2,22,11.41,0
515,novorzhev,57.03,52.56,98,6.67,19
516,uturoa,-16.73,75.11,76,24.4,47
517,tjome,59.11,59.9,87,6.93,94
518,grand-santi,4.27,73.73,98,1.32,100
519,gonbad-e qabus,37.25,80.6,78,6.93,0
520,santiago del estero,-27.8,61.34,68,7.31,100
521,sosua,19.77,85.37,79,23.04,20
522,kunming,25.04,63.43,67,11.18,75
523,zasheyek,67.41,39.98,92,5.46,83
524,kabalo,-6.05,68.22,48,3.85,0
525,tupancireta,-29.08,70.0,74,13.42,84
526,bilibino,68.06,46.11,82,6.64,100
527,parambu,-6.21,67.19,91,4.07,11
528,lubango,-14.92,55.76,81,1.66,36
529,warrnambool,-38.38,48.0,87,28.01,60
530,formiga,-20.46,63.9,76,2.93,13
531,paez,2.93,80.6,61,9.17,75
532,cayenne,4.94,77.0,88,4.0,100
533,lakes entrance,-37.88,52.93,60,1.99,10
534,pangody,65.85,59.29,50,5.39,0
535,lac du bonnet,50.25,83.5,41,8.61,82
536,ituacu,-13.81,71.08,69,9.66,58
537,steti,50.45,62.64,63,5.82,0
538,dayong,25.02,84.2,89,2.24,40
539,wick,51.45,58.66,93,14.99,90
540,mitsamiouli,-11.38,79.09,80,4.61,20
541,freetown,26.61,75.2,94,8.05,75
542,samarai,-10.62,73.76,86,8.34,100
543,myitkyina,25.38,75.62,85,0.69,82
544,sola,-3.17,66.33,58,6.96,3
545,behshahr,36.69,80.17,85,23.87,3
546,lata,30.78,41.72,73,3.44,59
547,yeppoon,-23.13,66.2,68,3.36,8
548,tiarei,-17.53,78.35,61,9.17,75
